loginId,visits,female,game,teacher,eng_class,course_total,total_assm,total_time,avg_time,maxLevel,finalLevel,total_wk,m30_n,stay_30m
7444,10,1,1,4,44,72,120,6947,57.89167,11,11,10,12,9.648611
7445,22,1,1,4,44,84,21,1042,49.61905,5,4,2,2,8.683333
7448,11,1,1,4,44,77,102,5766,56.52941,9,9,9,10,9.61
7449,8,1,1,4,44,78,123,5476,44.52032,8,8,8,8,11.40833
7450,17,1,1,4,44,70,24,982,40.91667,5,5,3,4,4.091667
7464,15,0,0,1,11,90,83,4778,57.56627,11,11,6,6,13.27222
7465,12,0,0,1,11,,28,1332,47.57143,3,2,6,6,3.7
7467,6,1,0,1,11,88,20,1146,57.3,5,5,2,2,9.55
7468,7,1,0,1,11,88,66,2989,45.28788,10,10,6,6,8.302778
7469,11,1,0,1,11,80,19,1057,55.63158,6,6,3,4,4.404167
7470,4,1,0,1,11,73,14,600,42.85714,5,5,2,2,5
7471,6,1,0,1,11,68,11,525,47.72727,5,5,2,2,4.375
7472,22,1,0,1,11,81,19,916,48.21053,5,5,3,3,5.088889
7474,3,1,0,1,11,71,36,1145,31.80556,4,4,2,2,9.541667
7479,12,0,0,1,11,69,24,951,39.625,4,1,3,3,5.283333
7480,15,0,0,1,11,73,22,1237,56.22727,6,6,2,2,10.30833
7481,5,1,0,1,11,78,21,1110,52.85714,6,6,2,2,9.25
7482,9,0,0,1,11,70,12,577,48.08333,4,4,2,2,4.808333
7483,26,1,0,1,11,91,66,3628,54.9697,10,8,7,7,8.638095
7484,11,0,0,1,11,68,8,376,47,4,4,2,2,3.133333
7485,34,1,0,1,11,81,94,5092,54.17021,9,8,10,11,7.715151
7488,30,1,0,1,12,68,78,4396,56.35897,6,4,7,7,10.46667
7490,3,0,0,1,12,53,56,1783,31.83928,3,1,2,3,9.905556
7492,9,0,0,1,12,70,33,1769,53.60606,3,2,6,7,4.211905
7494,36,0,0,1,12,60,12,337,28.08333,3,3,2,2,2.808333
7495,5,0,0,1,12,62,47,2671,56.82979,9,8,4,5,8.903334
7496,20,0,0,1,12,63,25,723,28.92,3,2,3,3,4.016667
7497,4,0,0,1,12,61,12,648,54,3,2,2,2,5.4
7498,17,0,0,1,12,62,57,2208,38.73684,3,1,5,5,7.36
7500,21,1,0,1,12,95,21,1036,49.33333,4,4,4,4,4.316667
7501,6,1,0,1,12,90,30,1616,53.86666,9,9,3,3,8.977777
7506,12,0,0,1,12,77,35,1336,38.17143,2,2,3,3,7.422222
7508,8,0,0,1,12,72,24,1185,49.375,6,6,2,3,6.583333
7509,14,0,0,1,12,67,9,353,39.22222,3,1,2,2,2.941667
7510,5,0,0,1,12,60,11,502,45.63636,3,3,2,2,4.183333
7511,8,1,0,1,12,85,35,1924,54.97143,7,7,4,4,8.016666
7512,2,1,0,1,12,65,16,594,37.125,3,3,2,2,4.95
7513,3,1,0,1,12,76,18,994,55.22222,5,5,2,2,8.283334
7514,2,1,0,1,12,71,16,587,36.6875,3,1,2,3,3.261111
7515,8,1,0,1,13,92,61,3545,58.11475,8,7,7,8,7.385417
7517,5,1,0,1,13,88,27,1232,45.62963,5,5,3,3,6.844444
7520,7,1,0,1,13,80,28,1550,55.35714,6,6,2,2,12.91667
7530,12,0,0,1,13,88,21,1053,50.14286,8,8,3,3,5.85
7535,17,1,0,1,13,85,66,3717,56.31818,9,9,6,7,8.85
7538,29,1,0,1,13,86,15,680,45.33333,4,4,2,2,5.666667
7539,11,1,0,1,13,85,16,769,48.0625,3,3,2,2,6.408333
7541,5,1,0,1,14,91,20,1040,52,7,7,3,4,4.333333
7544,2,0,0,1,14,70,16,860,53.75,5,4,2,2,7.166667
